season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,update_dt,headshot_url
2011,ARI,C,NA,NA,DEV,Ryan Bartholomew,Ryan,Bartholomew,1988-03-21,6-1,302,Syracuse,NA,00-0028272,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAR726560.png
2011,ARI,C,NA,60,CUT,Kris O'Dowd,Kris,O'Dowd,1988-05-14,6-4,304,USC,NA,00-0028726,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ODO810924.png
2011,ARI,C,NA,62,CUT,Ben Claxton,Ben,Claxton,1980-07-30,6-3,300,Mississippi,NA,00-0022018,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CLA712686.png
2011,ARI,C,NA,63,ACT,Lyle Sendlein,Lyle,Sendlein,1984-03-16,6-3,308,Texas,NA,00-0025682,NA,NA,NA,NA,4062,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SEN108904.png
2011,ARI,CB,NA,22,RES,Crezdon Butler,Crezdon,Butler,1987-05-26,6-0,191,Clemson,NA,00-0027763,NA,NA,NA,NA,5687,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUT133826.png
2011,ARI,CB,NA,20,ACT,A.J. Jefferson,A.J.,Jefferson,1988-04-04,6-1,190,Fresno State,NA,00-0027350,NA,NA,NA,NA,5881,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JEF096790.png
2011,ARI,CB,NA,30,ACT,Marshay Green,Marshay,Green,1986-01-14,5-10,175,Mississippi,NA,00-0027353,NA,NA,NA,NA,5884,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE317404.png
2011,ARI,CB,NA,21,ACT,Patrick Peterson,Patrick,Peterson,1990-07-11,6-0,219,LSU,Ely (FL),00-0027943,13980,9f3b934e-52d6-4e16-ae92-d3e60be10493,24792,7300,6157,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET415511.png
2011,ARI,CB,NA,43,CUT,Desia Dunn,Desia,Dunn,1988-11-10,5-9,195,Fresno State,NA,00-0028717,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DUN538228.png
2011,ARI,CB,NA,31,ACT,Richard Marshall,Richard,Marshall,1984-12-12,5-11,198,Fresno State,NA,00-0024273,NA,NA,NA,NA,3003,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAR452561.png
