season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id
2006,ARI,C,NA,60,ACT,Nick Leckey,Nick,Leckey,1982-03-12,6-3,291,Kansas State,NA,00-0022904,NA,NA,NA,1885,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEC297966.png,NA,NA,NA,NA
2006,ARI,C,NA,65,CUT,Shawn Lynch,Shawn,Lynch,1979-07-25,6-4,284,Duke,NA,00-0020776,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LYN622935.png,NA,NA,NA,NA
2006,ARI,C,NA,71,ACT,Alex Stepanovich,Alex,Stepanovich,1981-09-25,6-4,312,Ohio State,NA,00-0022788,NA,NA,NA,1821,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STE342127.png,NA,NA,NA,NA
2006,ARI,CB,NA,23,ACT,Darrell Hunter,Darrell,Hunter,1983-11-29,6-0,206,Miami (Ohio),NA,00-0023955,NA,NA,NA,3361,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HUN531772.png,NA,NA,NA,NA
2006,ARI,CB,NA,29,DEV,Justin Wyatt,Justin,Wyatt,1984-01-27,5-9,193,USC,NA,00-0023932,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WYA367212.png,NA,NA,NA,NA
2006,ARI,CB,NA,21,ACT,Antrel Rolle,Antrel,Rolle,1982-12-16,6-0,208,Miami (Fla.),NA,00-0023443,NA,NA,NA,2225,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROL403288.png,NA,NA,NA,NA
2006,ARI,CB,NA,27,RES,David Macklin,David,Macklin,1978-07-14,5-10,206,Penn State,NA,00-0019563,NA,NA,NA,647,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAC601067.png,NA,NA,NA,NA
2006,ARI,CB,NA,25,ACT,Eric Green,Eric,Green,1982-03-16,5-11,194,Virginia Tech,NA,00-0023510,NA,NA,NA,2292,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE188533.png,NA,NA,NA,NA
2006,ARI,DB,NA,33,ACT,Dyshod Carter,Dyshod,Carter,1978-06-18,5-10,193,Kansas State,NA,00-0019945,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAR647565.png,NA,NA,NA,NA
2006,ARI,DB,NA,46,ACT,Chris Harrell,Chris,Harrell,1983-01-29,6-1,212,Penn State,NA,00-0023933,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAR305915.png,NA,NA,NA,NA
