season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,update_dt,headshot_url
1999,ARI,C,NA,54,NA,Aaron Graham,Aaron,Graham,1973-05-22,6-4,301,Nebraska,NA,00-0006197,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA112165.png
1999,ARI,C,NA,62,NA,Mike Devlin,Mike,Devlin,1969-11-16,6-2,325,Iowa,NA,00-0004241,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DEV722424.png
1999,ARI,CB,NA,22,NA,Tom Knight,Tom,Knight,1974-12-29,6-0,197,Iowa,NA,00-0009360,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KNI750334.png
1999,ARI,CB,NA,35,NA,Aeneas Williams,Aeneas,Williams,1968-01-29,5-11,200,Southern University,NA,00-0017710,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL133817.png
1999,ARI,CB,NA,44,NA,J.J. McCleskey,J.J.,McCleskey,1970-04-10,5-8,180,Tennessee,NA,00-0010700,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC402792.png
1999,ARI,CB,NA,25,NA,Corey Chavous,Corey,Chavous,1976-01-05,6-1,200,Vanderbilt,NA,00-0002919,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHA820452.png
1999,ARI,DB,NA,40,NA,Pat Tillman,Pat,Tillman,1976-11-06,5-11,192,Arizona State,NA,00-0016479,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TIL573494.png
1999,ARI,DB,NA,41,NA,Justin Lucas,Justin,Lucas,1976-07-15,5-10,194,Abilene Christian,NA,00-0018563,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LUC070577.png
1999,ARI,DB,NA,23,NA,Coby Rhinehart,Coby,Rhinehart,1977-02-07,5-10,186,Southern Methodist,NA,00-0013623,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RHI444955.png
1999,ARI,DB,NA,46,NA,Paris Johnson,Paris,Johnson,1976-01-18,6-2,207,Miami (Ohio),NA,00-0008595,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH569202.png
1999,ARI,DE,NA,98,NA,Eric Swann,Eric,Swann,1970-08-16,6-5,317,No College,NA,00-0015947,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SWA320232.png
1999,ARI,DE,NA,96,NA,Brad Ottis,Brad,Ottis,1972-08-02,6-5,293,Wayne State (Neb.),NA,00-0012446,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OTT193802.png
1999,ARI,DE,NA,90,NA,Andre Wadsworth,Andre,Wadsworth,1974-10-19,6-4,275,Florida State,NA,00-0016976,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAD800379.png
1999,ARI,DE,NA,97,NA,Simeon Rice,Simeon,Rice,1974-02-24,6-5,268,Illinois,NA,00-0013644,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RIC161816.png
1999,ARI,DE,NA,78,NA,Angel Rubio,Angel,Rubio,1975-04-12,6-2,307,Southeast Missouri State,NA,00-0014128,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RUB488116.png
1999,ARI,DE,NA,93,NA,Mark Smith,Mark,Smith,1974-08-28,6-4,294,Auburn,NA,00-0015255,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI502280.png
1999,ARI,DT,NA,74,NA,Mike Moten,Mike,Moten,1974-03-12,6-5,266,Florida,NA,00-0011764,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOT318011.png
1999,ARI,DT,NA,91,NA,Rashod Swinger,Rashod,Swinger,1974-11-27,6-3,316,Rutgers,NA,00-0015976,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SWI427154.png
1999,ARI,DT,NA,94,NA,Corey Sears,Corey,Sears,1973-04-15,6-3,300,Mississippi State,NA,00-0014618,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SEA512568.png
1999,ARI,DT,NA,76,NA,Jerry Drake,Jerry,Drake,1969-07-09,6-5,312,Hastings,NA,00-0004514,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DRA173324.png
1999,ARI,DT,NA,60,NA,Tom Burke,Tom,Burke,1976-10-12,6-3,261,Wisconsin,NA,00-0002257,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUR227401.png
1999,ARI,FB,NA,34,NA,Joel Makovicka,Joel,Makovicka,1975-10-06,5-11,246,Nebraska,NA,00-0010292,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAK482869.png
