season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id
2000,ARI,C,NA,50,NA,Jason Starkey,Jason,Starkey,1977-07-15,6-5,270,Marshall,NA,00-0019518,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA573574.png,NA,NA,NA,NA
2000,ARI,C,NA,67,NA,Chris Dishman,Chris,Dishman,1974-02-27,6-3,331,Nebraska,NA,00-0004336,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DIS613185.png,NA,NA,NA,NA
2000,ARI,C,NA,60,NA,Mike Gruttadauria,Mike,Gruttadauria,1972-12-06,6-3,286,UCF,NA,00-0006516,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRU771855.png,NA,NA,NA,NA
2000,ARI,CB,NA,47,NA,Jordan Younger,Jordan,Younger,1978-01-24,5-10,190,Connecticut,NA,00-0019299,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/YOU768620.png,NA,NA,NA,NA
2000,ARI,CB,NA,22,NA,Tom Knight,Tom,Knight,1974-12-29,6-0,196,Iowa,NA,00-0009360,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KNI750334.png,NA,NA,NA,NA
2000,ARI,CB,NA,44,NA,J.J. McCleskey,J.J.,McCleskey,1970-04-10,5-8,184,Tennessee,NA,00-0010700,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC402792.png,NA,NA,NA,NA
2000,ARI,CB,NA,23,NA,Coby Rhinehart,Coby,Rhinehart,1977-02-07,5-10,187,Southern Methodist,NA,00-0013623,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RHI444955.png,NA,NA,NA,NA
2000,ARI,CB,NA,35,NA,Aeneas Williams,Aeneas,Williams,1968-01-29,5-11,200,Southern University,NA,00-0017710,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL133817.png,NA,NA,NA,NA
2000,ARI,CB,NA,36,NA,David Barrett,David,Barrett,1977-12-22,5-9,198,Arkansas,NA,00-0019469,NA,NA,NA,653,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAR591346.png,NA,NA,NA,NA
2000,ARI,DB,NA,28,NA,Tommy Bennett,Tommy,Bennett,1973-02-19,6-2,212,UCLA,NA,00-0001114,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEN447808.png,NA,NA,NA,NA
