team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp
ARI,C,NA,62,ACT,Ben Claxton,Ben,Claxton,1980-07-30,6-2,301,Mississippi,NA,00-0022018,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CLA712686.png,NA,NA,NA
ARI,C,NA,63,ACT,Lyle Sendlein,Lyle,Sendlein,1984-03-16,6-3,305,Texas,NA,00-0025682,NA,NA,NA,NA,4062,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SEN108904.png,NA,NA,NA
ARI,CB,NA,28,ACT,Greg Toler,Greg,Toler,1985-01-02,5-10,191,St. Paul's (VA),NA,00-0026910,NA,NA,NA,NA,5055,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TOL296694.png,NA,NA,NA
ARI,CB,NA,25,ACT,Bryant McFadden,Bryant,McFadden,1981-11-21,6-0,190,Florida State,NA,00-0023497,NA,NA,NA,NA,2279,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCF082537.png,NA,NA,NA
ARI,CB,NA,23,CUT,Wilrey Fontenot,Wilrey,Fontenot,1984-10-14,5-10,169,Arizona,NA,00-0026352,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FON434790.png,NA,NA,NA
ARI,CB,NA,29,ACT,Dominique Rodgers-Cromartie,Dominique,Rodgers-Cromartie,1986-04-07,6-2,182,Tennessee State,Lakewood Ranch (FL),00-0026156,11250,c881b179-070d-4289-909f-4d3594abbd79,8793,5749,4330,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD616216.png,2556,95,NA
ARI,DB,NA,22,RES,Matt Ware,Matt,Ware,1982-12-02,6-2,215,UCLA,NA,00-0022786,NA,NA,NA,NA,1810,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAR361925.png,NA,NA,NA
ARI,DB,NA,41,ACT,Hamza Abdullah,Hamza,Abdullah,1983-08-20,6-2,216,Washington State,NA,00-0023663,NA,NA,NA,NA,2448,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ABD655601.png,NA,NA,NA
ARI,DB,NA,27,ACT,Michael Adams,Michael,Adams,1985-06-17,5-8,181,Louisiana-Lafayette,NA,00-0025668,NA,NA,NA,NA,4192,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADA509576.png,NA,NA,NA
ARI,DB,NA,43,CUT,Jameel Dowling,Jameel,Dowling,1984-12-29,6-3,205,Hawaii,NA,00-0026728,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOW533940.png,NA,NA,NA
