season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,pfr_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id
2018,ARI,C,NA,66,CUT,Josh Allen,Josh,Allen,1991-12-30,6-3,315,Louisiana-Monroe,NA,00-0030833,17102,28032,10011,9216,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALL529825.png,16590,2212,NA,7206bfcb-ae42-4220-b738-158d3e2bb0fe
2018,ARI,C,NA,53,RES,A.Q. Shipley,A.Q.,Shipley,1986-05-22,6-1,307,Penn State,Moon Area (PA),00-0026950,12726,9490,6215,5150,ShipA.20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHI382248.png,13610,1011,NA,f7163bae-d4da-4d38-847e-e0315605b9d0
2018,ARI,C,NA,64,ACT,Mason Cole,Mason,Cole,1996-03-28,6-4,307,Michigan,East Lake (FL),00-0034785,3115972,31067,12795,45547,ColeMa02,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COL151246.png,19898,5062,NA,53d25371-e3ce-4030-8d0a-82def5cdc600
2018,ARI,C,NA,NA,DEV,Coleman Shelton,Coleman,Shelton,1995-07-28,6-5,285,Washington,Loyola (CA),00-0034114,3052180,31393,12701,39316,ShelCo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHE410481.png,20533,5454,NA,9e885643-3f46-49f4-94e9-714a3b1f586b
2018,ARI,CB,NA,32,CUT,Lou Young,Lou,Young,1991-10-09,6-1,205,Georgia Tech,NA,00-0030675,NA,NA,NA,9335,YounLo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/YOU379662.png,NA,NA,NA,NA
2018,ARI,CB,NA,26,ACT,Brandon Williams,Brandon,Williams,1992-09-09,6-0,200,Texas A&M,Royal (TX),00-0032769,2972286,29326,10901,10726,WillBr07,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL000008.png,15561,1696,NA,cdb10720-0d41-4cb6-9fb8-c00713754a1e
2018,ARI,CB,NA,NA,DEV,Jonathan Moxey,Jonathan,Moxey,1995-01-14,5-10,188,Boise State,NA,00-0033432,3042884,30479,12535,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOX177981.png,19346,4478,NA,0b36513e-6dfa-406b-9198-619d090e6e8d
2018,ARI,CB,NA,21,ACT,Patrick Peterson,Patrick,Peterson,1990-07-11,6-1,203,LSU,Ely (FL),00-0027943,13980,24792,7300,6157,PetePa00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET415511.png,13415,972,NA,9f3b934e-52d6-4e16-ae92-d3e60be10493
2018,ARI,CB,NA,39,CUT,Deatrick Nichols,Deatrick,Nichols,1994-06-08,5-10,189,South Florida,NA,00-0034481,3126311,31314,12758,50381,NichDe00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/NIC163369.png,20086,5159,NA,2238219b-a0bc-464f-b83d-ff902e65bb87
2018,ARI,CB,NA,23,CUT,Quinten Rollins,Quinten,Rollins,1992-07-15,5-11,195,Miami (Ohio),Wilmington (OH),00-0031937,3125961,28450,10410,9495,RollQu00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROL752507.png,16823,2367,NA,d3c47b87-1554-4afe-ab8f-d5e801706fc3
2018,ARI,DB,NA,33,ACT,Tre Boston,Tre,Boston,1992-06-25,6-1,205,North Carolina,North Fort Myers (FL),00-0031261,16877,27656,9303,8763,BostTr00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOS695248.png,16552,2184,NA,4ca2f25d-7a0c-42e2-9b35-c9b9a025990b
2018,ARI,DB,NA,31,CUT,Tim Scott,Tim,Scott,1993-01-25,5-11,195,North Carolina,NA,00-0031754,2577110,29021,10750,9850,ScotTi00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SCO706639.png,17260,2792,NA,6ba5ea17-2790-448e-9fb8-2d0d05ca955c
2018,ARI,DB,NA,30,ACT,Rudy Ford,Rudy,Ford,1994-11-01,6-0,204,Auburn,New Hope (AL),00-0033792,3051901,30321,11989,11963,FordRu00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FOR323002.png,19069,4223,NA,b12174ec-fea9-4e05-b54f-c00e10920245
2018,ARI,DB,NA,NA,RES,Jonathan Owens,Jonathan,Owens,1995-07-22,5-11,210,Missouri Western State,Christian Brothers College,00-0034485,4331768,31318,13218,66930,OwenJo01,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OWE526795.png,20219,5520,NA,411c2af8-64c9-4982-8d72-3ba4c683c0db
2018,ARI,DB,NA,27,CUT,Leonard Johnson,Leonard,Johnson,1990-03-30,5-10,194,Iowa State,Largo (FL),00-0029087,15398,26043,8170,7385,JohnLe03,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH399760.png,14381,1194,NA,2023386f-584e-4cd3-b4e6-491cda3fee31
2018,ARI,DB,NA,38,ACT,David Amerson,David,Amerson,1991-12-08,6-1,205,North Carolina State,Dudley (NC),00-0030420,15820,26674,8643,7832,AmerDa00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AME404790.png,15096,1498,NA,2ba5bdad-0b7c-4637-89a3-5b7b34d215b0
2018,ARI,DB,NA,27,CUT,Travell Dixon,Travell,Dixon,1991-02-17,6-1,210,Washington,NA,00-0032014,2976500,29079,10795,10080,DixoTr01,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DIX729086.png,17860,3108,NA,d2e89432-b9e3-4beb-a795-f0e9f6756efb
2018,ARI,DB,NA,25,ACT,Chris Jones,Chris,Jones,1995-08-13,6-0,200,Nebraska,Lake Howell (FL),00-0034641,17070,27839,9384,49339,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JON000007.png,20711,5815,NA,10d49d75-aa4a-4d26-b9b5-c74f4e3c9ac8
2018,ARI,DB,NA,28,CUT,Dontae Johnson,Dontae,Johnson,1991-12-01,6-2,200,North Carolina State,Pennington Prep (NJ),00-0031061,16893,27657,9301,8764,JohnDo02,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH211430.png,16669,2258,NA,d5ba025d-5e9d-452d-8b86-f68a3bff5e22
2018,ARI,DE,NA,54,ACT,Vontarrius Dora,Vontarrius,Dora,1992-09-07,6-4,256,Louisiana Tech,NA,00-0032484,2574163,29617,11386,11014,DoraVo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR024911.png,18410,3623,NA,2ae84168-c2e9-4dd0-9680-afc1f9b11668
2018,ARI,DE,NA,54,CUT,Bryson Albright,Bryson,Albright,1994-03-15,6-5,235,Miami (Ohio),NA,00-0032491,2978064,29546,11318,10962,AlbrBr00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALB614403.png,18352,3575,NA,1d9fa156-0e17-4de2-8ee4-6756ea760066
2018,ARI,DE,NA,44,ACT,Markus Golden,Markus,Golden,1991-03-13,6-3,260,Missouri,Afton (MO),00-0032127,2971432,28446,10329,9491,GoldMa00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GOL067489.png,16819,2363,NA,78eb0872-fff0-4fc2-94ee-6a5c518ecaa5
2018,ARI,DE,NA,61,CUT,Cap Capi,Cap,Capi,1992-07-11,6-3,249,Akron,NA,00-0031982,2514374,29029,10745,10048,CapiNo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAP202201.png,17204,2736,NA,d5e5340b-98be-4738-867d-791f36bf8e5e
