season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,update_dt,headshot_url
2017,ARI,C,NA,62,RES,Daniel Munyer,Daniel,Munyer,03/04/1992,6-1,305,Colorado,Notre Dame (CA),00-0032192,2511330,e2ba47b5-f503-42fc-86d2-2f6061551a30,29133,10716,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MUN811705.png
2017,ARI,C,NA,53,ACT,A.Q. Shipley,A.Q.,Shipley,05/22/1986,6-1,307,Penn State,Moon Area (PA),00-0026950,12726,f7163bae-d4da-4d38-847e-e0315605b9d0,9490,6215,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHI382248.png
2017,ARI,C,NA,79,ACT,Max Tuerk,Max,Tuerk,01/27/1994,6-5,298,USC,NA,00-0033130,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TUE563609.png
2017,ARI,CB,NA,28,ACT,Justin Bethel,Justin,Bethel,06/17/1990,6-0,200,Presbyterian,Blythewood (SC),00-0029530,15089,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3,25887,8306,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BET201235.png
2017,ARI,CB,NA,38,RES,Ronald Zamort,Ronald,Zamort,11/10/1991,5-10,174,Western Michigan,NA,00-0032511,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ZAM637723.png
2017,ARI,CB,NA,21,ACT,Patrick Peterson,Patrick,Peterson,07/11/1990,6-1,203,LSU,Ely (FL),00-0027943,13980,9f3b934e-52d6-4e16-ae92-d3e60be10493,24792,7300,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET415511.png
2017,ARI,CB,NA,42,ACT,C.J. Goodwin,C.J.,Goodwin,02/04/1990,6-4,220,California (PA),Linsly School (WV),00-0031357,17474,6d62aaa2-fe41-4672-941f-7314a0b9b367,28289,9842,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GOO627559.png
2017,ARI,CB,NA,NA,DEV,Jonathan Moxey,Jonathan,Moxey,01/14/1995,5-10,188,Boise State,NA,00-0033432,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOX177981.png
2017,ARI,CB,NA,26,ACT,Brandon Williams,Brandon,Williams,09/09/1992,6-0,200,Texas A&M,NA,00-0032769,2972286,NA,29326,10901,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL000008.png
2017,ARI,CB,NA,30,RES,Rudy Ford,Rudy,Ford,11/01/1994,5-11,204,Auburn,New Hope (AL),00-0033792,3051901,b12174ec-fea9-4e05-b54f-c00e10920245,30321,11989,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FOR323002.png
2017,ARI,DB,NA,NA,DEV,Jarell Carter,Jarell,Carter,08/07/1995,5-10,196,Trinity International,NA,00-0034005,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAR662738.png
2017,ARI,DB,NA,25,ACT,Tramon Williams,Tramon,Williams,03/16/1983,6-0,192,Louisiana Tech,NA,00-0024061,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL545231.png
