team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp
ARI,C,NA,53,ACT,A.Q. Shipley,A.Q.,Shipley,1986-05-22,6-1,307,Penn State,Moon Area (PA),00-0026950,12726,f7163bae-d4da-4d38-847e-e0315605b9d0,9490,6215,5150,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHI382248.png,13610,1011,NA
ARI,C,NA,NA,DEV,Daniel Munyer,Daniel,Munyer,1992-03-04,6-1,305,Colorado,Notre Dame (CA),00-0032192,2511330,e2ba47b5-f503-42fc-86d2-2f6061551a30,29133,10716,10174,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MUN811705.png,17511,2992,NA
ARI,C,NA,65,RES,Taylor Boggs,Taylor,Boggs,1987-02-20,6-3,302,Humboldt State,NA,00-0028570,NA,NA,NA,NA,6727,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOG427290.png,NA,NA,NA
ARI,CB,NA,21,ACT,Patrick Peterson,Patrick,Peterson,1990-07-11,6-1,203,LSU,Ely (FL),00-0027943,13980,9f3b934e-52d6-4e16-ae92-d3e60be10493,24792,7300,6157,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET415511.png,13415,972,NA
ARI,CB,NA,26,ACT,Brandon Williams,Brandon,Williams,1992-09-09,5-11,200,Texas A&M,Royal (TX),00-0032769,2972286,cdb10720-0d41-4cb6-9fb8-c00713754a1e,29326,10901,10726,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL000008.png,15561,1696,NA
ARI,CB,NA,41,ACT,Marcus Cooper,Marcus,Cooper,1990-02-01,6-2,192,Rutgers,Bloomfield (CT),00-0030127,15888,38709da2-bd62-45f9-a7cd-f209879aca81,26875,9082,8035,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COO646420.png,15234,1583,NA
ARI,CB,NA,29,CUT,Tharold Simon,Tharold,Simon,1991-03-06,6-3,202,LSU,NA,00-0030487,NA,NA,NA,NA,7920,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SIM380329.png,NA,NA,NA
ARI,CB,NA,NA,DEV,Ronald Zamort,Ronald,Zamort,1991-11-10,5-10,174,Western Michigan,NA,00-0032511,2973033,812c5dd0-4da5-498e-bf8c-4efdd885973a,29589,11301,10961,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ZAM637723.png,18400,3613,NA
ARI,CB,NA,28,ACT,Justin Bethel,Justin,Bethel,1990-06-17,6-0,200,Presbyterian,Blythewood (SC),00-0029530,15089,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3,25887,8306,7654,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BET201235.png,14469,1216,NA
ARI,DB,NA,43,RES,Mike Jenkins,Mike,Jenkins,1985-03-22,5-10,197,South Florida,NA,00-0026165,NA,NA,NA,NA,4339,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JEN421854.png,NA,NA,NA
ARI,DB,NA,27,RES,Tyvon Branch,Tyvon,Branch,1986-12-11,6-0,210,Connecticut,NA,00-0026240,NA,NA,NA,NA,4414,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA530779.png,NA,NA,NA
ARI,DB,NA,30,RES,Elie Bouka,Elie,Bouka,1992-08-15,6-1,205,Calgary,NA,00-0032485,4010743,6a85f300-518d-4c97-860d-c69713649c58,29564,11285,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOU310620.png,18391,3604,NA
ARI,DB,NA,41,ACT,Trevon Hartfield,Trevon,Hartfield,1991-11-17,6-0,195,Southwestern Oklahoma State,NA,00-0032498,NA,NA,NA,NA,10955,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAR711135.png,NA,NA,NA
ARI,DB,NA,25,ACT,Christian Bryant,Christian,Bryant,1992-03-21,5-10,198,Ohio State,NA,00-0031397,NA,NA,NA,NA,8875,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY311774.png,NA,NA,NA
