season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id,weeks_active_reg,weeks_active_post
2007,ARI,C,NA,50,ACT,Al Johnson,Al,Johnson,1979-01-27,6-5,305,Wisconsin,NA,00-0022079,NA,NA,NA,1354,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH031383.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,C,NA,NA,DEV,Scott Peters,Scott,Peters,1978-11-23,6-3,300,Arizona State,NA,00-0021091,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET162651.png,NA,NA,NA,NA,NA,NA
2007,ARI,C,NA,55,CUT,Chukky Okobi,Chukky,Okobi,1978-10-18,6-1,305,Purdue,NA,00-0020255,NA,NA,NA,886,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OKO055371.png,NA,NA,NA,NA,2;3;4;5,NA
2007,ARI,CB,NA,29,CUT,Justin Wyatt,Justin,Wyatt,1984-01-27,5-9,193,USC,NA,00-0023932,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WYA367212.png,NA,NA,NA,NA,NA,NA
2007,ARI,CB,NA,25,RES,Eric Green,Eric,Green,1982-03-16,5-11,195,Virginia Tech,NA,00-0023510,NA,NA,NA,2292,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE188533.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12,NA
2007,ARI,CB,NA,21,ACT,Antrel Rolle,Antrel,Rolle,1982-12-16,6-0,208,Miami (Fla.),NA,00-0023443,NA,NA,NA,2225,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROL403288.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,CB,NA,NA,DEV,DeMario Minter,DeMario,Minter,1984-02-20,5-11,195,Georgia,NA,00-0024366,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MIN639501.png,NA,NA,NA,NA,NA,NA
2007,ARI,CB,NA,26,ACT,Roderick Hood,Roderick,Hood,1981-10-03,5-11,198,Auburn,NA,00-0021503,NA,NA,NA,1628,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOO217532.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,CB,NA,NA,DEV,Travarous Bain,Travarous,Bain,1983-10-15,6-0,175,Hampton,NA,00-0025669,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAI713997.png,NA,NA,NA,NA,NA,NA
2007,ARI,DB,NA,47,ACT,Aaron Francisco,Aaron,Francisco,1983-07-05,6-2,207,Brigham Young,NA,00-0023213,NA,NA,NA,2594,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FRA212200.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DB,NA,22,ACT,Matt Ware,Matt,Ware,1982-12-02,6-2,214,UCLA,NA,00-0022786,NA,NA,NA,1810,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAR361925.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DB,NA,34,ACT,Bhawoh Jue,Bhawoh,Jue,1979-05-24,6-0,200,Penn State,NA,00-0020367,NA,NA,NA,836,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JUE027685.png,NA,NA,NA,NA,13;14;15;16;17,NA
2007,ARI,DB,NA,27,ACT,Michael Adams,Michael,Adams,1985-06-17,5-8,178,Louisiana-Lafayette,NA,00-0025668,NA,NA,NA,4192,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADA509576.png,NA,NA,NA,NA,11;12;13;14;15;16;17,NA
2007,ARI,DB,NA,20,ACT,Ralph Brown,Ralph,Brown,1978-09-16,5-10,185,Nebraska,NA,00-0019613,NA,NA,NA,672,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO588846.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DE,NA,71,ACT,Joe Tafoya,Joe,Tafoya,1978-09-06,6-4,258,Arizona,NA,00-0020402,NA,NA,NA,934,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAF514170.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DE,NA,95,ACT,Bo Schobel,Bo,Schobel,1981-03-24,6-5,264,Texas Christian,NA,00-0022862,NA,NA,NA,1824,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SCH425195.png,NA,NA,NA,NA,13;14;15;16;17,NA
2007,ARI,DE,NA,56,RES,Chike Okeafor,Chike,Okeafor,1976-03-27,6-5,265,Purdue,NA,00-0012333,NA,NA,NA,493,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OKE059326.png,NA,NA,NA,NA,NA,NA
2007,ARI,DE,NA,94,ACT,Antonio Smith,Antonio,Smith,1981-10-21,6-4,282,Oklahoma State,NA,00-0022793,NA,NA,NA,1856,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI040937.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DE,NA,91,ACT,Rodney Bailey,Rodney,Bailey,1979-10-07,6-3,309,Ohio State,NA,00-0020299,NA,NA,NA,906,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAI578694.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DE,NA,92,RES,Bertrand Berry,Bertrand,Berry,1975-08-15,6-3,264,Notre Dame,NA,00-0001176,NA,NA,NA,267,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BER460580.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10,NA
2007,ARI,DE,NA,93,ACT,Chris Cooper,Chris,Cooper,1977-02-27,6-5,280,Nebraska-Omaha,NA,00-0020422,NA,NA,NA,909,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COO521504.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DT,NA,90,ACT,Darnell Dockett,Darnell,Dockett,1981-05-27,6-4,285,Florida State,NA,00-0022930,NA,NA,NA,1785,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOC428041.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2007,ARI,DT,NA,96,RES,Ross Kolodziej,Ross,Kolodziej,1978-05-11,6-3,289,Wisconsin,NA,00-0020412,NA,NA,NA,931,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KOL728546.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,NA
