team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp
ARI,C,NA,60,NA,Nick Leckey,Nick,Leckey,1982-03-12,6-2,286,Kansas State,NA,00-0022904,NA,NA,NA,NA,1885,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEC297966.png,NA,NA,NA
ARI,C,NA,71,NA,Alex Stepanovich,Alex,Stepanovich,1981-09-25,6-4,301,Ohio State,NA,00-0022788,NA,NA,NA,NA,1821,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STE342127.png,NA,NA,NA
ARI,CB,NA,41,NA,Clarence Curry,Clarence,Curry,1981-12-07,6-1,210,Villanova,NA,00-0022661,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CUR435980.png,NA,NA,NA
ARI,CB,NA,27,NA,David Macklin,David,Macklin,1978-07-14,5-10,200,Penn State,NA,00-0019563,NA,NA,NA,NA,647,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAC601067.png,NA,NA,NA
ARI,CB,NA,21,NA,Renaldo Hill,Renaldo,Hill,1978-11-12,5-11,189,Michigan State,NA,00-0020301,NA,NA,NA,NA,919,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HIL570463.png,NA,NA,NA
ARI,CB,NA,28,NA,Duane Starks,Duane,Starks,1974-05-23,5-10,174,Miami (Fla.),NA,00-0015577,NA,NA,NA,NA,334,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA575276.png,NA,NA,NA
ARI,CB,NA,26,NA,Robert Tate,Robert,Tate,1973-10-19,5-11,195,Cincinnati,NA,00-0016061,NA,NA,NA,NA,286,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAT441792.png,NA,NA,NA
ARI,DB,NA,37,NA,Adrian Mayes,Adrian,Mayes,1980-11-17,6-1,215,LSU,NA,00-0022386,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAY337636.png,NA,NA,NA
ARI,DB,NA,44,NA,Michael Stone,Michael,Stone,1978-02-13,6-0,201,Memphis,NA,00-0020383,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STO426574.png,NA,NA,NA
ARI,DE,NA,92,NA,Bertrand Berry,Bertrand,Berry,1975-08-15,6-3,275,Notre Dame,NA,00-0001176,NA,NA,NA,NA,267,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BER460580.png,NA,NA,NA
ARI,DE,NA,97,NA,Calvin Pace,Calvin,Pace,1980-10-28,6-4,262,Wake Forest,NA,00-0022120,NA,NA,NA,NA,1334,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PAC125680.png,NA,NA,NA
