season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,update_dt,headshot_url
2010,ARI,C,NA,70,ACT,Rex Hadnot,Rex,Hadnot,1982-01-28,6-2,310,Houston,NA,00-0022905,NA,NA,NA,NA,1892,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAD772615.png
2010,ARI,C,NA,62,ACT,Ben Claxton,Ben,Claxton,1980-07-30,6-3,300,Mississippi,NA,00-0022018,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CLA712686.png
2010,ARI,C,NA,60,CUT,David Moosman,David,Moosman,1986-09-02,6-5,298,Michigan,NA,00-0027354,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOO813217.png
2010,ARI,C,NA,63,ACT,Lyle Sendlein,Lyle,Sendlein,1984-03-16,6-3,308,Texas,NA,00-0025682,NA,NA,NA,NA,4062,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SEN108904.png
2010,ARI,CB,NA,30,ACT,Marshay Green,Marshay,Green,1986-01-14,5-10,175,Mississippi,NA,00-0027353,NA,NA,NA,NA,5884,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE317404.png
2010,ARI,CB,NA,20,ACT,A.J. Jefferson,A.J.,Jefferson,1988-04-04,6-1,190,Fresno State,NA,00-0027350,NA,NA,NA,NA,5881,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JEF096790.png
2010,ARI,CB,NA,28,ACT,Greg Toler,Greg,Toler,1985-01-02,6-0,192,St. Paul's (VA),NA,00-0026910,NA,NA,NA,NA,5055,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TOL296694.png
2010,ARI,CB,NA,23,ACT,Trumaine McBride,Trumaine,McBride,1985-09-24,5-9,185,Mississippi,NA,00-0025608,NA,NA,NA,NA,3837,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCB000000.png
2010,ARI,CB,NA,29,ACT,Dominique Rodgers-Cromartie,Dominique,Rodgers-Cromartie,1986-04-07,6-2,182,Tennessee State,NA,00-0026156,NA,NA,NA,NA,4330,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD616216.png
2010,ARI,CB,NA,27,ACT,Michael Adams,Michael,Adams,1985-06-17,5-8,181,Louisiana-Lafayette,NA,00-0025668,NA,NA,NA,NA,4192,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADA509576.png
