season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,pfr_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id
2013,ARI,C,NA,72,CUT,Kyle Quinn,Kyle,Quinn,1990-02-09,6-3,290,Arizona,NA,00-0030145,NA,NA,NA,8566,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/QUI620342.png,NA,NA,NA,NA
2013,ARI,C,NA,63,ACT,Lyle Sendlein,Lyle,Sendlein,1984-03-16,6-3,308,Texas,NA,00-0025682,NA,NA,NA,4062,SendLy20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SEN108904.png,NA,NA,NA,NA
2013,ARI,C,NA,68,CUT,Adam Bice,Adam,Bice,1989-06-30,6-4,302,Akron,NA,00-0030397,NA,NA,NA,8041,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BIC201270.png,NA,NA,NA,NA
2013,ARI,C,NA,NA,RSN,Philip Blake,Philip,Blake,1985-11-27,6-3,310,Baylor,NA,00-0029609,NA,NA,NA,7108,BlakPh00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BLA579109.png,NA,NA,NA,NA
2013,ARI,C,NA,67,CUT,Deveric Gallington,Deveric,Gallington,1990-05-06,6-3,314,Texas Tech,NA,00-0029753,NA,NA,NA,8563,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAL637441.png,NA,NA,NA,NA
2013,ARI,C,NA,NA,DEV,Tommie Draheim,Tommie,Draheim,1988-12-23,6-4,309,San Diego State,NA,00-0028989,NA,NA,NA,7326,DrahTo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DRA137671.png,NA,NA,NA,NA
2013,ARI,CB,NA,21,ACT,Patrick Peterson,Patrick,Peterson,1990-07-11,6-1,219,LSU,Ely (FL),00-0027943,13980,24792,7300,6157,PetePa00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET415511.png,13415,972,NA,9f3b934e-52d6-4e16-ae92-d3e60be10493
2013,ARI,CB,NA,25,ACT,Jerraud Powers,Jerraud,Powers,1987-07-19,5-10,187,Auburn,NA,00-0027064,NA,NA,NA,5015,PoweJe99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/POW641973.png,NA,NA,NA,NA
2013,ARI,CB,NA,35,ACT,Javier Arenas,Javier,Arenas,1987-10-28,5-9,197,Alabama,NA,00-0027660,NA,NA,NA,5575,ArenJa99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ARE404040.png,NA,NA,NA,NA
2013,ARI,CB,NA,31,ACT,Justin Bethel,Justin,Bethel,1990-06-17,6-0,200,Presbyterian,Blythewood (SC),00-0029530,15089,25887,8306,7654,BethJu00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BET201235.png,14469,1216,NA,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3
2013,ARI,CB,NA,20,ACT,Antoine Cason,Antoine,Cason,1986-07-09,6-1,195,Arizona,NA,00-0026167,NA,NA,NA,4341,CasoAn99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,NA,NA,NA,NA
2013,ARI,DB,NA,41,CUT,Javon Harris,Javon,Harris,1991-02-07,5-11,206,Oklahoma,NA,00-0030307,NA,NA,NA,8356,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAR437830.png,NA,NA,NA,NA
2013,ARI,DB,NA,23,ACT,Bryan McCann,Bryan,McCann,1987-09-29,5-11,185,Southern Methodist,NA,00-0027421,NA,NA,NA,5928,McCaBr01,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC135648.png,NA,NA,NA,NA
2013,ARI,DB,NA,27,ACT,Curtis Taylor,Curtis,Taylor,1985-07-13,6-2,212,LSU,NA,00-0026501,NA,NA,NA,5143,TaylCu99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAY137718.png,NA,NA,NA,NA
2013,ARI,DB,NA,27,CUT,Jonathon Amaya,Jonathon,Amaya,1988-11-25,6-2,205,Nevada,NA,00-0027355,NA,NA,NA,5886,AmayJo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AMA783256.png,NA,NA,NA,NA
2013,ARI,DB,NA,43,CUT,Ronnie Yell,Ronnie,Yell,1991-04-15,5-10,188,San Jose State,NA,00-0030308,NA,NA,NA,8401,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/YEL169236.png,NA,NA,NA,NA
2013,ARI,DE,NA,98,ACT,Frostee Rucker,Frostee,Rucker,1983-09-14,6-3,280,USC,Tustin (CA),00-0024306,9677,7840,5030,3036,RuckFr99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RUC531571.png,1214,42,NA,36648f14-5fe5-40f3-ade1-ef53c8f93bdf
2013,ARI,DE,NA,96,ACT,Ronald Talley,Ronald,Talley,1986-02-21,6-3,286,Delaware,NA,00-0026791,NA,NA,NA,5396,TallRo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAL662347.png,NA,NA,NA,NA
2013,ARI,DE,NA,60,RES,Everrette Thompson,Everrette,Thompson,1989-12-18,6-6,272,Washington,NA,00-0029712,NA,NA,NA,NA,ThomEv00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/THO547095.png,NA,NA,NA,NA
2013,ARI,DE,NA,90,ACT,Darnell Dockett,Darnell,Dockett,1981-05-27,6-4,290,Florida State,NA,00-0022930,NA,NA,NA,1785,DockDa20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOC428041.png,NA,NA,NA,NA
2013,ARI,DE,NA,93,ACT,Calais Campbell,Calais,Campbell,1986-09-01,6-8,300,Miami (Fla.),Denver South (CO),00-0026190,11284,8827,5587,4364,CampCa99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAM208843.png,3341,125,NA,0333b8f0-3aab-45aa-a684-6d402a309413
2013,ARI,DT,NA,60,CUT,Cordian Hagans,Cordian,Hagans,1989-02-07,6-5,280,Louisiana-Lafayette,NA,00-0029917,NA,NA,NA,8245,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAG042749.png,NA,NA,NA,NA
2013,ARI,DT,NA,62,CUT,Jonathan Mathis,Jonathan,Mathis,1989-02-04,6-2,300,Texas A&M,NA,00-0030610,NA,NA,NA,8565,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAT201545.png,NA,NA,NA,NA
2013,ARI,DT,NA,NA,DEV,Anthony McCloud,Anthony,McCloud,1989-08-06,6-2,322,Florida State,NA,00-0029932,NA,NA,NA,8164,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC415769.png,NA,NA,NA,NA
2013,ARI,FS,NA,22,ACT,Tony Jefferson,Tony,Jefferson,1992-01-27,5-11,212,Oklahoma,Eastlake (CA),00-0030294,16195,27081,8688,8361,JeffTo00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JEF423538.png,15516,1686,NA,7690ab6a-2ae0-4449-abd5-74ec54403f2e
2013,ARI,FS,NA,26,ACT,Rashad Johnson,Rashad,Johnson,1986-01-02,5-11,204,Alabama,NA,00-0027067,NA,NA,NA,5018,JohnRa98,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH590218.png,NA,NA,NA,NA
2013,ARI,FS,NA,32,RES,Tyrann Mathieu,Tyrann,Mathieu,1992-05-13,5-9,186,LSU,St. Augustine (LA),00-0030459,15851,26692,8593,7850,MathTy00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAT195206.png,15226,1576,NA,8c8b7d6e-6ed8-4a10-8ae9-b50300bd766b
2013,ARI,G,NA,71,ACT,Daryn Colledge,Daryn,Colledge,1982-02-11,6-4,308,Boise State,NA,00-0024262,NA,NA,NA,2992,CollDa20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COL385165.png,NA,NA,NA,NA
2013,ARI,G,NA,73,CUT,Chilo Rachal,Chilo,Rachal,1986-03-15,6-5,323,USC,NA,00-0026179,NA,NA,NA,4353,RachCh20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RAC237924.png,NA,NA,NA,NA
2013,ARI,G,NA,74,ACT,Paul Fanaika,Paul,Fanaika,1986-04-09,6-5,327,Arizona State,NA,00-0026943,NA,NA,NA,5137,FanaPa20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FAN016656.png,NA,NA,NA,NA
2013,ARI,ILB,NA,58,ACT,Daryl Washington,Daryl,Washington,1986-10-09,6-2,238,Texas Christian,NA,00-0027886,NA,NA,NA,5572,WashDa99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAS186798.png,NA,NA,NA,NA
