season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id,weeks_active_reg,weeks_active_post
2001,ARI,C,NA,60,NA,Mike Gruttadauria,Mike,Gruttadauria,1972-12-06,6-3,284,UCF,NA,00-0006516,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRU771855.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2001,ARI,C,NA,48,NA,Nathan Hodel,Nathan,Hodel,1977-11-12,6-2,247,Illinois,NA,00-0019834,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOD104287.png,NA,NA,NA,NA,16;17,NA
2001,ARI,C,NA,50,NA,Jason Starkey,Jason,Starkey,1977-07-15,6-4,282,Marshall,NA,00-0019518,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA573574.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2001,ARI,CB,NA,36,NA,David Barrett,David,Barrett,1977-12-22,5-10,195,Arkansas,NA,00-0019469,NA,NA,NA,653,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAR591346.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2001,ARI,CB,NA,25,NA,Corey Chavous,Corey,Chavous,1976-01-05,6-1,206,Vanderbilt,NA,00-0002919,NA,NA,NA,350,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHA820452.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2001,ARI,CB,NA,24,NA,Tom Knight,Tom,Knight,1974-12-29,6-0,195,Iowa,NA,00-0009360,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KNI750334.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,NA
2001,ARI,CB,NA,45,NA,Renaldo Hill,Renaldo,Hill,1978-11-12,5-11,182,Michigan State,NA,00-0020301,NA,NA,NA,919,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HIL570463.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2001,ARI,DB,NA,44,NA,Michael Stone,Michael,Stone,1978-02-13,5-11,189,Memphis,NA,00-0020383,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STO426574.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2001,ARI,DB,NA,22,NA,Adrian Wilson,Adrian,Wilson,1979-10-12,6-3,207,North Carolina State,NA,00-0020505,NA,NA,NA,831,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL647976.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2001,ARI,DB,NA,23,NA,Coby Rhinehart,Coby,Rhinehart,1977-02-07,5-11,191,Southern Methodist,NA,00-0013623,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RHI444955.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
