season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp
2008,ARI,C,NA,63,ACT,Lyle Sendlein,Lyle,Sendlein,1984-03-16,6-2,300,Texas,NA,00-0025682,NA,NA,NA,NA,4062,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SEN108904.png,NA,NA,NA
2008,ARI,C,NA,70,ACT,Pat Ross,Pat,Ross,1983-03-16,6-3,305,Boston College,NA,00-0023906,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROS666813.png,NA,NA,NA
2008,ARI,C,NA,79,CUT,Jasper Harvey,Jasper,Harvey,1983-04-08,6-3,305,San Diego State,NA,00-0023830,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAR787986.png,NA,NA,NA
2008,ARI,C,NA,64,RES,Scott Peters,Scott,Peters,1978-11-23,6-3,308,Arizona State,NA,00-0021091,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET162651.png,NA,NA,NA
2008,ARI,C,NA,NA,DEV,Enoka Lucas,Enoka,Lucas,1984-04-29,6-3,299,Oregon,NA,00-0024795,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LUC061201.png,NA,NA,NA
2008,ARI,CB,NA,29,ACT,Dominique Rodgers-Cromartie,Dominique,Rodgers-Cromartie,1986-04-07,6-2,182,Tennessee State,Lakewood Ranch (FL),00-0026156,11250,c881b179-070d-4289-909f-4d3594abbd79,8793,5749,4330,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD616216.png,2556,95,NA
2008,ARI,CB,NA,NA,DEV,Wilrey Fontenot,Wilrey,Fontenot,1984-10-14,5-9,169,Arizona,NA,00-0026352,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FON434790.png,NA,NA,NA
2008,ARI,CB,NA,26,ACT,Roderick Hood,Roderick,Hood,1981-10-03,5-11,198,Auburn,NA,00-0021503,NA,NA,NA,NA,1628,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOO217532.png,NA,NA,NA
2008,ARI,CB,NA,25,ACT,Eric Green,Eric,Green,1982-03-16,5-11,196,Virginia Tech,NA,00-0023510,NA,NA,NA,NA,2292,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE188533.png,NA,NA,NA
2008,ARI,CB,NA,23,CUT,DeMario Minter,DeMario,Minter,1984-02-20,5-11,199,Georgia,NA,00-0024366,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MIN639501.png,NA,NA,NA
